F1,F2,Label
1899_0,1308_10,0
1108_0,1020_23,0
1420_0,1238_3,0
14190_0,14253_16,0
14863_0,14818_11,0
14418_12,14849_2,0
14023_0,14040_9,0
14478_0,14523_5,0
14605_0,14064_18,0
14026_0,14107_11,0
14832_13,14074_6,0
14261_0,14951_11,0
1528_0,1875_11,0
14983_31,14940_18,0
14784_0,14914_8,0
1337_4,1941_13,0
1945_0,1964_7,0
339_13,2_10,0
14929_4,14799_18,0
14708_18,14890_8,0
14226_4,14861_10,0
295_0,67_51,0
14396_0,14711_13,0
468_7,135_9,0
1280_15,1133_21,0
14939_12,14700_24,0
14795_0,14094_10,0
511_0,552_12,0
308_0,510_3,0
1475_0,1006_15,0
1866_0,1849_41,0
14875_7,14468_26,0
14655_0,14269_15,0
1453_0,1310_6,0
1058_0,1115_2,0
14264_0,14142_4,0
14503_0,14564_42,0
1840_0,1481_26,0
14907_4,14753_18,0
14726_0,14065_6,0
1556_0,1748_8,0
14845_0,14590_5,0
182_0,217_49,0
655_4,272_8,0
1478_0,1666_8,0
14253_0,14617_4,0
14347_0,14085_30,0
1991_0,1123_41,0
14741_0,14668_16,0
14719_0,14154_18,0
14872_23,14443_18,0
223_1,405_23,0
655_55,25_9,0
1743_25,1419_19,0
1260_9,1104_3,0
14579_14,14464_30,0
14806_7,14488_7,0
14557_3,14882_6,0
14616_7,14997_33,0
217_4,152_9,0
14594_7,14453_30,0
538_21,67_50,0
1364_25,1965_4,0
14395_12,14831_14,0
14872_43,14211_4,0
14622_3,14161_5,0
14530_10,14262_4,0
14584_15,14922_1,0
1914_17,1259_19,0
136_70,65_29,0
1365_2,1889_3,0
14609_2,14011_1,0
14266_13,14485_27,0
1914_16,1479_9,0
1384_13,1280_14,0
14503_13,14009_2,0
14530_9,14149_53,0
14635_6,14884_9,0
14594_6,14860_4,0
14708_31,14087_4,0
1633_2,1749_0,0
14932_17,14153_42,0
525_4,215_30,0
14492_3,14773_22,0
1452_3,1311_5,0
1900_14,1045_17,0
1611_14,1586_18,0
14716_7,14001_19,0
462_18,150_4,0
14616_6,14437_11,0
14872_42,14428_1,0
334_24,514_39,0
14984_17,14591_14,0
40159_1,40178_6,0
40464_11,40168_57,0
40466_11,40465_0,0
467_27,145_6,0
40263_0,40606_2,0
40641_0,40067_10,0
40158_4,40548_8,0
40157_4,40178_38,0
40629_0,40454_1,0
40713_0,40148_59,0
40657_0,40150_12,0
40157_0,40176_7,0
40158_0,40179_7,0
40452_0,40466_10,0
40409_0,40573_2,0
40643_0,40121_1,0
40211_1,40544_0,0
40016_9,40164_43,0
40367_0,40466_9,0
40466_12,40452_2,0
40184_0,40173_35,0
40242_0,40164_4,0
40211_0,40573_1,0
40482_2,40596_2,0
40500_0,40339_4,0
40203_0,40104_3,0
14866_15,14256_1,0
14016_35,14783_7,0
14261_23,14663_12,0
14546_2,14893_7,0
1688_2,1920_6,0
40223_10,40398_6,0
241_0,527_12,0
1539_0,1321_3,0
14123_0,14056_13,0
14814_2,14583_9,0
597_0,640_25,0
367_0,405_1,0
105_4,294_19,0
40059_7,40169_63,0
40059_6,40169_62,0
23_21,654_62,0
216_56,69_54,0
217_22,68_20,0
14057_7,14735_6,0
14386_15,14437_10,0
136_66,346_15,0
14918_1,14691_3,0
14275_1,14557_21,0
14918_0,14590_16,0
1589_4,1246_15,0
494_2,94_22,0
1937_2,1245_13,0
201_2,72_78,0
559_2,402_7,0
372_2,540_16,0
135_49,42_28,0
14742_52,14734_35,0
14742_10,14855_3,0
639_23,145_16,0
410_2,412_26,0
14986_19,14939_26,0
40081_7,40182_11,0
40101_3,40564_1,0
40078_0,40123_5,0
40077_1,40146_33,0
40492_1,40166_57,0
40720_1,40177_11,0
40038_8,40544_1,0
40640_5,40178_36,0
40203_5,40146_8,0
40038_13,40390_4,0
14799_9,14680_2,0
14507_3,14663_9,0
14742_53,14347_1,0
14742_32,14364_1,0
40166_86,40149_61,0
40101_1,40120_6,0
40380_0,40161_57,0
40499_11,40164_41,0
40004_0,40168_5,0
40106_12,40474_6,0
40597_3,40146_30,0
40083_7,40179_10,0
40390_0,40038_17,0
14360_10,14860_5,0
40266_0,40167_72,0
40522_7,40179_39,0
40339_0,40175_45,0
40073_12,40177_14,0
40437_0,40073_4,0
40443_9,40167_41,0
40248_6,40160_44,0
40349_0,40178_34,0
40341_35,40149_38,0
40382_5,40161_34,0
40263_3,40164_1,0
40339_4,40165_3,0
40339_5,40175_40,0
40341_7,40182_37,0
14654_2,14530_8,0
40382_0,40161_30,0
40437_2,40176_10,0
40081_14,40191_3,0
40341_0,40168_8,0
40344_35,40110_7,0
14020_14,14643_7,0
40388_0,40196_8,0
1697_11,1106_44,0
14078_4,14393_41,0
40382_4,40343_19,0
40344_0,40407_6,0
14861_11,14544_4,0
14286_11,14922_17,0
40259_1,40166_82,0
40259_0,40166_83,0
14398_5,14068_13,0
40339_2,40067_2,0
40341_24,40149_29,0
44_25,89_15,0
14301_6,14519_5,0
40038_3,40167_11,0
40039_3,40018_4,0
40546_2,40123_0,0
40548_3,40166_26,0
40553_3,40117_7,0
347_22,82_2,0
14016_42,14060_7,0
655_28,273_21,0
40139_43,40182_14,0
568_17,296_9,0
1298_34,1379_2,0
428_33,434_4,0
1753_32,1561_1,0
500_31,200_13,0
1977_33,1718_32,0
188_27,226_0,0
498_29,563_3,0
494_29,301_14,0
558_27,197_26,0
512_43,67_13,0
201_16,666_13,0
1302_17,1913_31,0
1450_16,1628_4,0
226_32,615_6,0
195_32,17_3,0
1753_33,1101_21,0
1298_35,1260_9,0
500_40,654_0,0
1870_39,1233_40,0
489_40,248_8,0
1522_42,1937_41,0
515_12,161_0,0
1295_5,1068_10,0
40145_34,40343_20,0
14742_45,14386_9,0
14591_7,14263_18,0
1913_31,1943_5,0
498_23,144_5,0
498_28,471_20,0
223_24,592_21,0
558_26,197_27,0
512_42,67_12,0
196_22,321_11,0
136_39,65_60,0
40223_21,40223_20,0
1939_11,1020_54,0
223_11,592_14,0
559_8,292_14,0
1068_11,1295_4,0
226_11,195_25,0
1966_18,1894_1,0
40029_0,40164_15,0
40522_9,40179_37,0
568_7,216_62,0
1939_10,1962_2,0
512_23,50_6,0
1068_10,1090_0,0
226_10,195_24,0
1480_25,1585_6,0
1489_25,1170_4,0
1474_25,1422_12,0
14747_25,14396_1,0
14381_32,14932_3,0
137_64,347_17,0
40039_5,40018_2,0
40121_5,40643_4,0
40121_6,40163_8,0
14133_17,14377_7,0
40341_21,40147_35,0
40343_21,40180_33,0
40576_5,40557_2,0
40338_1,40177_43,0
14095_0,14579_20,0
258_0,441_10,0
1464_0,1327_6,0
1849_75,1838_5,0
1524_11,1109_2,0
40062_1,40118_3,0
40492_2,40181_44,0
40697_0,40176_33,0
14697_27,14279_2,0
514_38,136_59,0
428_25,302_27,0
40464_5,40102_9,0
14323_13,14978_6,0
14697_31,14670_20,0
40166_81,40259_2,0
14578_23,14708_50,0
640_17,514_32,0
14407_21,14021_28,0
14232_14,14996_12,0
40534_0,40183_62,0
1514_5,1276_4,0
14068_7,14133_2,0
40193_1,40473_0,0
14103_27,14914_15,0
298_27,385_2,0
14580_7,14829_17,0
321_24,186_9,0
40098_1,40147_33,0
1514_14,1410_13,0
452_42,358_10,0
227_13,95_21,0
40389_0,40174_34,0
40576_6,40557_1,0
40503_0,40147_4,0
14501_6,14668_28,0
16210_2,16553_4,0
16553_4,16582_41,0
16582_41,16174_8,0
16572_3,16288_13,0
16288_13,16136_6,0
16136_6,16675_0,0
16675_0,16582_40,0
16582_40,16174_9,0
16288_12,16572_2,0
16572_2,16408_0,0
16408_0,16886_0,0
16886_0,16553_5,0
16553_5,16210_3,0
16210_3,16136_7,0
16663_6,16702_19,0
16702_19,16120_0,0
16120_0,16738_3,0
16890_7,16206_4,0
16206_4,16591_13,0
16591_13,16120_1,0
16097_25,16702_18,0
16702_18,16738_2,0
16738_2,16276_20,0
16642_0,16719_5,0
16719_5,16591_12,0
16591_12,16890_6,0
16022_7,16761_1,0
16761_1,16179_2,0
16447_5,16325_4,0
16325_4,16285_39,0
16285_39,16466_2,0
16466_2,16761_0,0
16761_0,16022_6,0
16447_4,16025_31,0
16592_20,16268_7,0
16015_6,16883_25,0
16883_25,16725_12,0
16677_23,16509_27,0
16371_15,16333_3,0
16333_3,16470_5,0
16818_23,16025_30,0
16592_21,16451_2,0
16777_6,16509_26,0
16509_26,16677_22,0
16677_22,16015_7,0
16887_9,16409_9,0
16175_0,16510_2,0
16510_2,16367_12,0
16367_12,16253_4,0
16991_25,16637_12,0
16887_8,16409_8,0
16235_22,16991_24,0
16991_24,16531_4,0
16367_13,16253_5,0
16620_0,16527_2,0
16652_26,16988_5,0
16988_5,16506_5,0
16506_5,16038_2,0
16038_2,16620_1,0
16772_18,16601_6,0
16404_3,16347_5,0
16347_5,16827_36,0
16827_36,16425_4,0
16425_4,16366_2,0
16658_5,16360_49,0
16360_49,16332_16,0
16332_16,16703_0,0
16662_16,16061_1,0
16061_1,16366_3,0
16366_3,16425_5,0
16347_4,16827_37,0
16827_37,16404_2,0
16404_2,16679_3,0
16679_3,16061_0,0
16061_0,16722_6,0
16722_6,16662_17,0
16662_17,16658_4,0
16658_4,16360_48,0
16332_17,16703_1,0
16205_12,16077_7,0
16734_1,16757_8,0
16433_2,16505_31,0
16505_31,16205_13,0
16734_0,16077_6,0
16077_6,16357_22,0
16357_22,16056_1,0
16056_1,16433_3,0
16505_30,16088_7,0
16407_19,16694_13,0
16407_18,16790_14,0
16790_14,16423_20,0
16399_2,16875_3,0
16875_3,16089_15,0
16399_3,16268_11,0
16683_28,16089_14,0
16089_14,16686_3,0
16483_6,16956_3,0
16956_3,16815_41,0
16815_41,16524_14,0
16524_14,16977_4,0
16476_24,16956_2,0
16956_2,16815_40,0
16517_16,16365_54,0
16850_24,16806_13,0
16999_12,16961_2,0
16961_2,16047_17,0
16047_17,16850_25,0
16850_25,16339_13,0
16339_13,16517_17,0
16961_3,16999_13,0
16436_15,16460_22,0
16875_21,16817_3,0
16817_3,16927_10,0
16772_50,16502_23,0
16502_23,16915_5,0
16915_5,16813_26,0
16813_26,16393_18,0
16393_18,16502_22,0
16502_22,16772_51,0
16447_28,16395_0,0
16395_0,16682_15,0
16531_21,16922_4,0
16922_4,16879_1,0
16494_8,16820_24,0
16820_24,16682_14,0
16531_20,16922_5,0
16922_5,16879_0,0
16879_0,16447_29,0
16447_29,16395_1,0
16395_1,16820_25,0
16152_3,16028_1,0
16173_4,16630_2,0
16255_0,16998_6,0
16998_6,16274_7,0
16274_7,16537_1,0
16537_1,16509_19,0
16509_19,16028_0,0
16028_0,16630_3,0
16152_2,16729_8,0
16105_30,16255_1,0
16500_0,16366_10,0
16187_15,16262_1,0
16626_4,16262_0,0
16262_0,16234_20,0
16234_20,16521_6,0
16764_20,16018_15,0
16500_1,16563_8,0
16083_12,16626_5,0
16626_5,16201_9,0
16402_7,16559_2,0
16423_0,16300_16,0
16300_16,16578_5,0
16322_8,16204_10,0
16204_10,16067_5,0
16724_3,16423_1,0
16423_1,16300_17,0
16300_17,16360_7,0
16360_7,16578_4,0
16578_4,16402_6,0
16204_11,16724_2,0
16724_2,16067_4,0
16028_24,16440_8,0
16435_6,16376_0,0
16376_0,16767_12,0
16767_12,16365_23,0
16648_6,16080_21,0
16435_7,16365_22,0
16365_22,16767_13,0
16767_13,16357_6,0
16826_35,16433_36,0
16192_20,16590_11,0
16325_12,16673_4,0
16590_10,16192_21,0
16574_6,16373_24,0
16803_30,16665_2,0
16665_2,16829_11,0
16829_11,16263_9,0
16263_9,16418_3,0
16316_10,16439_4,0
16439_4,16244_21,0
16244_21,16289_11,0
16289_11,16665_3,0
16829_10,16263_8,0
16803_31,16439_5,0
16289_10,16221_6,0
16221_6,16244_20,0
16244_20,16418_2,0
16418_2,16316_11,0
16316_11,16200_1,0
16332_29,16746_2,0
16746_2,16340_9,0
16340_9,16058_25,0
16058_25,16724_10,0
16724_10,16302_19,0
16652_19,16274_10,0
16274_10,16441_1,0
16772_27,16460_6,0
16652_18,16746_3,0
16746_3,16058_24,0
16724_11,16340_8,0
16323_1,16772_26,0
16441_0,16982_2,0
16982_2,16688_13,0
16688_13,16139_16,0
16139_16,16314_1,0
16314_1,16335_6,0
16335_6,16476_0,0
16476_0,16668_8,0
16415_9,16032_5,0
16032_5,16771_3,0
16169_0,16377_8,0
16377_8,16476_1,0
16476_1,16668_9,0
16982_3,16688_12,0
16314_0,16771_2,0
16771_2,16211_24,0
16032_4,16169_1,0
16169_1,16377_9,0
16377_9,16148_6,0
16148_6,16415_8,0
16697_8,16533_10,0
16533_10,16291_3,0
16826_7,16196_0,0
16196_0,16388_8,0
16864_9,16219_12,0
16219_12,16826_6,0
16697_9,16517_29,0
16291_2,16533_11,0
16533_11,16864_8,0
16196_1,16388_9,0
16798_5,16915_11,0
16915_11,16500_12,0
16200_31,16500_13,0
16500_13,16915_10,0
16915_10,16798_4,0
16830_0,16793_19,0
16793_19,16200_30,0
16901_18,16683_17,0
16683_17,16530_23,0
16530_23,16132_12,0
16132_12,16869_3,0
16082_0,16921_49,0
16921_49,16132_13,0
16132_13,16901_19,0
16901_19,16683_16,0
16530_22,16869_2,0
16393_4,16407_27,0
16407_27,16924_0,0
16924_0,16492_39,0
16393_5,16407_26,0
16488_8,16696_0,0
16197_8,16389_0,0
16447_17,16243_32,0
16243_32,16806_9,0
16806_9,16696_1,0
16696_1,16804_23,0
16299_39,16928_2,0
16928_2,16873_7,0
16813_18,16393_26,0
16393_26,16680_6,0
16680_6,16965_11,0
16965_11,16172_23,0
16172_23,16928_3,0
16965_10,16172_22,0
16485_2,16083_9,0
16083_9,16010_23,0
16010_23,16807_11,0
16807_11,16950_7,0
16389_37,16998_11,0
16485_3,16950_6,0
16950_6,16083_8,0
16083_8,16010_22,0
16010_22,16807_10,0
16393_12,16172_17,0
16494_2,16941_7,0
16804_16,16367_50,0
16367_50,16793_0,0
16941_6,16956_26,0
16089_5,16390_21,0
16390_21,16820_9,0
16820_9,16596_5,0
16792_10,16596_5,0
16596_5,16918_5,0
16918_5,16843_0,0
16792_11,16390_20,0
16390_20,16820_8,0
16596_4,16918_4,0
16918_4,16843_1,0
16010_17,16855_6,0
16687_0,16460_29,0
16460_29,16444_11,0
16444_11,16338_24,0
16338_24,16955_15,0
16010_16,16855_7,0
16855_7,16444_10,0
16444_10,16338_25,0
16460_28,16687_1,0
16085_7,16797_44,0
16797_44,16956_9,0
16956_9,16382_4,0
16382_4,16943_12,0
16797_45,16956_8,0
16956_8,16085_6,0
16085_6,16378_14,0
16378_14,16404_21,0
16404_21,16914_6,0
16914_6,16170_19,0
16556_10,16792_9,0
16792_9,16902_1,0
16806_19,16093_1,0
16093_1,16961_8,0
16806_18,16093_0,0
16842_8,16694_19,0
16053_15,16451_24,0
16451_24,16889_17,0
16407_12,16451_25,0
16451_25,16889_16,0
16889_16,16053_14,0
16842_9,16694_18,0
16230_34,16434_11,0
16434_11,16787_25,0
16787_25,16686_8,0
16686_8,16816_0,0
16816_0,16877_25,0
16498_0,16877_25,0
16683_23,16230_35,0
16683_22,16686_9,0
16877_24,16002_2,0
16002_2,16404_9,0
16404_9,16829_25,0
16829_25,16760_3,0
16178_0,16714_15,0
16714_15,16993_2,0
16244_15,16679_8,0
16679_8,16324_6,0
16324_6,16760_2,0
16366_9,16178_1,0
16178_1,16002_3,0
16002_3,16404_8,0
16324_7,16679_9,0
16679_9,16714_14,0
16714_14,16993_3,0
16993_3,16305_0,0
16332_0,16471_6,0
16433_8,16868_28,0
16868_28,16471_7,0
16332_1,16985_5,0
16450_0,16313_6,0
16868_29,16433_9,0
16433_9,16757_3,0
16887_3,16688_27,0
16688_27,16211_0,0
16211_11,16428_5,0
16887_2,16688_26,0
16211_10,16116_2,0
16116_2,16655_4,0
16058_11,16643_3,0
16662_4,16527_9,0
16527_9,16207_6,0
16207_6,16299_44,0
16819_14,16772_13,0
16772_13,16038_9,0
16643_2,16058_10,0
16058_10,16819_15,0
16819_15,16772_12,0
16565_6,16038_8,0
16764_15,16367_0,0
16367_0,16179_8,0
16179_8,16424_6,0
16424_6,16187_21,0
16041_4,16702_2,0
16702_2,16678_0,0
16678_0,16466_8,0
16481_16,16894_15,0
16894_15,16723_5,0
16723_5,16330_13,0
16330_13,16424_7,0
16179_9,16187_20,0
16764_14,16366_25,0
16894_14,16723_4,0
16723_4,16330_12,0
16330_12,16481_17,0
16481_17,16659_6,0
16659_6,16702_3,0
16451_9,16714_4,0
16714_4,16333_8,0
16818_28,16492_44,0
16432_0,16371_6,0
16371_6,16818_29,0
16179_12,16451_8,0
16451_8,16714_5,0
16371_7,16677_28,0
16677_28,16432_1,0
16432_1,16350_0,0
16080_14,16210_8,0
16210_8,16572_9,0
16252_6,16511_0,0
16511_0,16365_17,0
16288_18,16572_8,0
16365_16,16974_30,0
16974_30,16511_1,0
16511_1,16252_7,0
16252_7,16244_0,0
16244_0,16252_13,0
16252_13,16526_1,0
16526_1,16300_22,0
16300_22,16702_13,0
16702_13,16018_6,0
16018_6,16028_11,0
16039_1,16578_11,0
16578_11,16621_2,0
16621_2,16204_24,0
16265_6,16526_0,0
16526_0,16738_8,0
16738_8,16702_12,0
16702_12,16300_23,0
16300_23,16244_1,0
16244_1,16252_12,0
16252_12,16039_0,0
16039_0,16621_3,0
16591_18,16018_7,0
16018_7,16028_10,0
16028_10,16600_4,0
16600_4,16436_20,0
16436_20,16083_3,0
16083_3,16360_34,0
16360_34,16681_12,0
16681_12,16912_3,0
16384_0,16460_17,0
16875_14,16868_1,0
16868_1,16360_35,0
16360_35,16436_21,0
16436_21,16083_2,0
16083_2,16875_15,0
16875_15,16460_16,0
16460_16,16868_0,0
16868_0,16681_13,0
16681_13,16912_2,0
16392_6,16810_20,0
16810_20,16904_4,0
16904_4,16392_7,0
16392_7,16806_2,0
16488_2,16290_1,0
16197_2,16956_19,0
16820_10,16435_13,0
16806_3,16488_3,0
16488_3,16290_0,0
16290_0,16435_12,0
16435_12,16804_29,0
16804_29,16820_11,0
16820_11,16197_3,0
16956_18,16502_17,0
16528_36,16810_4,0
16286_7,16172_29,0
16172_28,16813_13,0
16813_13,16810_5,0
16810_5,16286_6,0
16951_5,16410_17,0
16410_17,16970_2,0
16970_2,16805_14,0
16805_14,16089_21,0
16089_20,16392_10,0
16392_10,16423_15,0
16795_5,16492_6,0
16492_6,16527_13,0
16527_13,16694_27,0
16694_27,16492_33,0
16392_11,16795_4,0
16527_12,16694_26,0
16694_26,16492_7,0
16492_32,16517_22,0
16517_22,16697_2,0
16697_2,16850_10,0
16850_10,16047_22,0
16047_22,16806_27,0
16806_27,16590_1,0
16590_1,16388_2,0
16929_0,16872_5,0
16872_5,16681_4,0
16022_17,16793_12,0
16872_4,16586_6,0
16586_6,16908_6,0
16302_13,16340_3,0
16340_3,16558_0,0
16558_0,16746_8,0
16047_0,16428_11,0
16428_11,16725_1,0
16725_1,16361_5,0
16558_1,16746_9,0
16725_0,16206_14,0
16402_31,16263_20,0
16263_20,16051_6,0
16051_6,16688_19,0
16688_19,16712_0,0
16712_0,16982_8,0
16982_8,16668_2,0
16367_26,16377_2,0
16235_17,16668_3,0
16668_3,16688_18,0
16688_18,16712_1,0
16712_1,16982_9,0
16982_9,16263_21,0
16377_3,16991_10,0
16991_10,16235_16,0
16367_27,16008_4,0
16254_2,16253_11,0
16253_11,16652_9,0
16703_10,16868_17,0
16253_10,16652_8,0
16652_8,16501_2,0
16418_20,16364_15,0
16332_22,16606_1,0
16520_4,16418_21,0
16332_23,16606_0,0
16145_6,16867_33,0
16004_6,16867_33,0
16747_0,16276_15,0
16995_6,16046_8,0
16726_14,16867_32,0
16747_1,16276_14,0
16276_14,16797_32,0
16713_8,16983_0,0
16983_0,16315_3,0
16767_18,16288_26,0
16983_1,16315_2,0
16315_2,16767_19,0
16554_2,16630_8,0
16818_16,16773_11,0
16773_11,16236_3,0
16677_17,16729_3,0
16729_3,16073_32,0
16073_32,16818_17,0
16818_17,16630_9,0
16575_4,16236_2,0
16554_3,16217_5,0
16729_2,16883_10,0
16883_10,16708_5,0
16708_5,16664_0,0
16664_0,16210_13,0
16210_13,16897_1,0
16897_1,16689_25,0
16689_25,16201_2,0
16664_1,16210_12,0
16210_12,16645_6,0
16645_6,16438_7,0
16563_2,16897_0,0
16689_24,16201_3,0
16201_3,16359_3,0
16360_17,16646_3,0
16894_4,16359_2,0
16541_1,16875_36,0
16875_36,16264_10,0
16264_10,16666_21,0
16646_2,16048_25,0
16048_25,16515_8,0
16515_8,16048_6,0
16196_28,16132_4,0
16201_24,16671_2,0
16214_0,16479_17,0
16235_7,16576_1,0
16576_1,16671_3,0
16671_3,16196_29,0
16196_29,16132_5,0
16132_5,16069_0,0
16069_0,16048_7,0
16048_7,16479_16,0
16479_16,16576_0,0
16576_0,16235_6,0
16214_1,16665_13,0
16665_13,16752_2,0
16752_2,16609_7,0
16335_13,16030_3,0
16030_3,16531_36,0
16531_36,16436_8,0
16337_0,16030_2,0
16609_6,16958_22,0
16958_22,16995_12,0
16995_12,16337_1,0
16656_11,16462_0,0
16462_0,16299_10,0
16026_5,16765_3,0
16765_3,16539_4,0
16539_4,16656_10,0
16299_11,16462_1,0
16462_1,16528_14,0
16765_2,16026_4,0
16146_3,16605_5,0
16877_38,16459_3,0
16764_41,16230_28,0
16167_5,16921_60,0
16921_60,16605_4,0
16764_40,16502_7,0
16877_39,16459_2,0
16777_13,16409_17,0
16409_17,16748_6,0
16090_21,16492_10,0
16492_10,16150_5,0
16171_2,16276_0,0
16171_3,16150_4,0
16150_4,16492_11,0
16323_14,16887_12,0
16887_12,16090_20,0
16090_20,16355_1,0
16355_1,16365_43,0
16365_43,16898_7,0
16898_7,16374_6,0
16388_23,16730_3,0
16374_7,16898_6,0
16898_6,16365_42,0
16365_42,16355_0,0
16355_0,16388_22,0
16388_22,16730_2,0
16707_2,16476_32,0
16476_32,16044_4,0
16044_4,16884_20,0
16197_14,16421_6,0
16421_6,16362_0,0
16362_0,16200_18,0
16200_18,16849_11,0
16707_3,16362_1,0
16362_1,16200_19,0
16200_19,16197_15,0
16682_0,16678_11,0
16402_13,16850_6,0
16850_6,16550_22,0
16550_22,16871_1,0
16871_1,16152_13,0
16871_0,16152_12,0
16152_12,16988_10,0
16988_10,16585_2,0
16850_7,16402_12,0
16686_23,16535_17,0
16535_17,16867_7,0
16991_32,16686_22,0
16686_22,16535_16,0
16535_16,16867_6,0
16867_6,16593_4,0
16590_38,16098_16,0
16868_34,16842_15,0
16842_15,16098_17,0
16803_19,16827_21,0
16931_8,16809_4,0
16803_18,16973_7,0
16973_7,16809_5,0
16809_5,16134_14,0
16813_0,16867_10,0
16832_7,16911_19,0
16969_2,16174_24,0
16832_6,16911_18,0
16911_18,16969_3,0
16969_3,16097_32,0
16802_25,16950_14,0
16025_26,16818_35,0
16818_35,16964_8,0
16964_8,16209_13,0
16883_32,16907_1,0
16907_1,16105_18,0
16818_34,16209_12,0
16096_0,16025_27,0
16025_27,16427_16,0
16427_16,16509_31,0
16883_33,16797_8,0
16105_19,16911_7,0
16144_15,16953_9,0
16921_28,16510_13,0
16921_29,16510_12,0
16698_5,16758_4,0
16758_4,16603_1,0
16779_2,16758_5,0
16982_16,16243_24,0
16243_24,16251_2,0
16449_1,16533_3,0
16533_3,16468_6,0
16468_6,16367_72,0
16367_72,16347_22,0
16347_22,16804_35,0
16634_0,16270_4,0
16270_4,16367_73,0
16251_3,16449_0,0
16449_0,16804_34,0
16208_0,16016_8,0
16016_8,16196_16,0
16196_16,16431_4,0
16431_4,16372_2,0
16717_0,16509_8,0
16372_3,16196_17,0
16196_17,16431_5,0
16208_1,16016_9,0
16016_9,16075_0,0
16075_0,16717_1,0
16717_1,16509_9,0
16509_9,16042_0,0
16389_21,16360_29,0
16360_29,16743_8,0
16364_4,16427_2,0
16720_0,16360_28,0
16021_8,16892_1,0
16706_11,16225_5,0
16969_10,16200_26,0
16200_26,16661_0,0
16706_10,16225_4,0
16200_27,16661_1,0
16661_1,16969_11,0
16448_9,16656_1,0
16656_1,16115_7,0
16115_7,16677_6,0
16677_6,16134_0,0
16582_21,16368_6,0
16368_6,16808_23,0
16808_23,16570_5,0
16570_5,16233_3,0
16233_3,16134_1,0
16134_1,16677_7,0
16677_7,16115_6,0
16115_6,16448_8,0
16448_8,16656_0,0
16656_0,16368_7,0
16368_7,16233_2,0
16570_4,16808_22,0
16582_20,16997_23,0
16209_8,16754_6,0
16407_30,16601_24,0
16601_24,16036_7,0
16036_7,16838_12,0
16818_42,16508_0,0
16508_0,16079_17,0
16079_17,16310_3,0
16310_3,16307_13,0
16331_4,16472_2,0
16298_12,16775_0,0
16209_9,16074_8,0
16298_13,16472_3,0
16472_3,16331_5,0
16818_43,16508_1,0
16310_2,16445_3,0
16183_23,16327_2,0
16327_2,16001_6,0
16020_1,16530_34,0
16530_34,16638_2,0
16230_16,16183_22,0
16890_16,16638_3,0
16875_40,16815_4,0
16815_4,16803_27,0
16803_27,16834_3,0
16440_13,16042_22,0
16834_2,16951_17,0
16192_2,16962_14,0
16425_26,16796_12,0
16796_12,16803_2,0
16098_28,16295_1,0
16295_1,16958_7,0
16958_7,16822_5,0
